Name,Code,Stock,capitalization
삼성전자,A005930,5969782,326547075400000
SK하이닉스,A000660,728002365,63991407883500
삼성전자우,A005935,822886700,36947612830000
NAVER,A035420,164813395,28924750822500
삼성바이오로직스,A207940,66165000,26201340000000
현대차,A005380,213668187,25853850627000
현대모비스,A012330,95306694,24827393787000
셀트리온,A068270,128337853,22074110716000
신한지주,A055550,474199587,21647211146550
LG화학,A051910,70592343,21389479929000
POSCO,A005490,87186835,21186400905000
KB금융,A105560,418111537,20905576850000
삼성물산,A028260,189690043,19727764472000
LG생활건강,A051900,15618197,19460273462000
SK텔레콤,A017670,80745711,19419343495500
SK,A034730,70360297,18188136774500
기아차,A000270,405363347,18018400774150
한국전력,A015760,641964077,17750306729050
삼성SDI,A006400,68764530,15781459635000
삼성에스디에스,A018260,77377800,15398182200000
삼성생명,A032830,200000000,15240000000000
SK이노베이션,A096770,92465564,13731136254000
KT&G,A033780,137292497,13152621212600
카카오,A035720,86213726,13018272626000
LG,A003550,172557131,12959040538100
삼성화재,A000810,47374837,11985833761000
LG전자,A066570,163647814,11815372170800
엔씨소프트,A036570,21954022,11811263836000
하나금융지주,A086790,300242062,11589343593200
아모레퍼시픽,A090430,58458490,11428634795000
S-Oil,A010950,112582792,10425166539200
삼성전기,A009150,74693696,9149977760000
한국조선해양,A009540,70773116,8846639500000
우리금융지주,A316140,722267683,8775552348450
고려아연,A010130,18870000,8076360000000
롯데케미칼,A011170,34275419,7746244694000
넷마블,A251270,85743192,7742610237600
KODEX 200,A069500,251800000,7314790000000
기업은행,A024110,577156979,7156746539600
KT,A030200,261111808,7036963225600
셀트리온헬스케어,A091990,143928048,7009295937600
아모레G,A002790,82458180,6637883490000
웅진코웨이,A021240,73799619,6560786129100
강원랜드,A035250,213940500,6557276325000
LG유플러스,A032640,436611361,6068897917900
한온시스템,A018880,533800000,5925180000000
LG디스플레이,A034220,357815700,5707160415000
현대글로비스,A086280,37500000,5587500000000
현대중공업지주,A267250,16286617,5578166322500
미래에셋대우,A006800,658316408,5082202669760
현대건설,A000720,111355765,4888518083500
GS,A078930,92915378,4785141967000
삼성카드,A029780,115858891,4634355640000
삼성중공업,A010140,630000000,4504500000000
현대제철,A004020,133445785,4310298855500
오리온,A271560,39536132,4289670322000
한국타이어앤테크놀로지,A161390,123875069,4224139852900
맥쿼리인프라,A088980,349044336,4205984248800
에이치엘비,A028300,42738918,4196961747600
DB손해보험,A005830,70800000,4170120000000
한국금융지주,A071050,55725992,4006698824800
삼성엔지니어링,A028050,196000000,3900400000000
CJ제일제당,A097950,15054186,3823763244000
롯데쇼핑,A023530,28288755,3804837547500
롯데지주,A004990,104909237,3802959841250
에스원,A012750,37999178,3674520512600
이마트,A139480,27875819,3665670198500
NH투자증권,A005940,281408887,3658315531000
TIGER 200,A102110,124450000,3615894750000
한국가스공사,A036460,92313000,3577128750000
CJ대한통운,A000120,22812344,3535913320000
한미약품,A128940,11612184,3454624740000
두산밥캣,A241560,100249166,3438546393800
삼성증권,A016360,89300000,3406795000000
한국항공우주,A047810,97475107,3406754989650
CJ ENM,A035760,21929154,3374896800600
호텔신라,A008770,39248121,3351789533400
휠라코리아,A081660,61115070,3300213780000
대림산업,A000210,34800000,3187680000000
LG이노텍,A011070,23667107,3147725231000
포스코케미칼,A003670,60988220,3037213356000
한화케미칼,A009830,161479290,3019662723000
대우조선해양,A042660,107205752,3017841918800
유한양행,A000100,12777115,3009010582500
현대차2우B,A005387,36485451,2984509891800
GS리테일,A007070,77000000,2914450000000
신세계,A004170,9845181,2869870261500
제일기획,A030000,115041225,2858774441250
쌍용양회,A003410,503859595,2851845307700
CJ,A001040,29176998,2809744907400
BGF리테일,A282330,17283906,2782708866000
현대해상,A001450,89400000,2655180000000
대한항공,A003490,94844634,2594000739900
BNK금융지주,A138930,325935246,2565110386020
GS건설,A006360,79924368,2557579776000
펄어비스,A263750,13023000,2500416000000
KODEX 레버리지,A122630,179200000,2458624000000
오렌지라이프,A079440,82000000,2451800000000
한미사이언스,A008930,64742860,2424620107000
포스코인터내셔널,A047050,123375149,2418152920400
한진칼,A180640,59170458,2408237640600
금호석유,A011780,30467691,2400854050800
KCC,A002380,10556513,2396328451000
팬오션,A028670,534569207,2378832971150
메리츠종금증권,A008560,617310701,2373559645345
스튜디오드래곤,A253450,28096370,2236471052000
더존비즈온,A012510,29672700,2210616150000
메리츠화재,A000060,113680000,2103080000000
한화생명,A088350,868530000,2097499950000
케이엠더블유,A032500,39803276,2018026093200
대우건설,A047040,415622638,1997066775590
오뚜기,A007310,3605237,1982880350000
현대백화점,A069960,23402441,1958784311700
휴젤,A145020,5119765,1933735240500
현대엘리베이,A017800,27199334,1922992913800
한화에어로스페이스,A012450,51560000,1907720000000
하이트진로,A000080,70133611,1907634219200
SK머티리얼즈,A036490,10547673,1885923932400
한화,A000880,74958735,1881464248500
현대미포조선,A010620,39942149,1879278110450
한올바이오파마,A009420,52240638,1844094521400
일진머티리얼즈,A020150,46110835,1835211233000
현대차우,A005385,24356685,1797523353000
동서,A026960,99700000,1779645000000
SKC,A011790,37534555,1767877540500
파라다이스,A034230,90942672,1759740703200
헬릭스미스,A084990,21415088,1749612689600
메디톡스,A086900,5815090,1738711910000
효성,A004800,21071025,1721502742500
키움증권,A039490,22099740,1719359772000
한전KPS,A051600,45000000,1719000000000
메리츠금융지주,A138040,140224314,1710736630800
원익IPS,A240810,49083901,1703211364700
만도,A204320,46957120,1702195600000
F&F,A007700,15400000,1640100000000
LS산전,A010120,30000000,1635000000000
KBSTAR 200,A148020,53900000,1565795000000
LG생활건강우,A051905,2099697,1562174568000
에스에프에이,A056190,35908760,1562031060000
대웅제약,A069620,11586575,1546807762500
영원무역,A111770,44311468,1542039086400
신세계인터내셔날,A031430,7140000,1535100000000
LS,A006260,32200000,1529500000000
OCI,A010060,23849371,1504895310100
한샘,A009240,23533928,1475577285600
녹십자,A006280,11686538,1472503788000
SK네트웍스,A001740,248187647,1456861487890
고영,A098460,13711951,1454838001100
농심,A004370,6082642,1429420870000
KODEX Top5PlusTR,A315930,99600000,1389420000000
컴투스,A078340,12866420,1370273730000
현대위아,A011210,27195083,1365193166600
제넥신,A095700,23755297,1363554047800
이노션,A214320,20000000,1358000000000
KODEX 단기채권,A153130,13161000,1336960185000
KODEX 종합채권(AA-이상)액티브,A273130,12322000,1331330490000
KODEX MSCI Korea TR,A278540,146500000,1330952500000
코오롱인더,A120110,26978840,1323312102000
현대로템,A064350,85000000,1321750000000
한국테크놀로지그룹,A000240,93020173,1316235447950
솔브레인,A036830,17398271,1306610152100
NHN,A181710,19565025,1303030665000
LG화학우,A051915,7688800,1284029600000
셀트리온제약,A068760,34089105,1278341437500
DGB금융지주,A139130,169145833,1263519372510
지누스,A013890,14206749,1258717961400
젬백스,A082270,38318140,1247255457000
메지온,A140410,8705952,1226668636800
GKL,A114090,61855670,1224742266000
HANARO 200,A293180,42050000,1221132000000
아시아나항공,A020560,221235294,1212369411120
금호타이어,A073240,287260287,1199311698225
KODEX 코스닥150 레버리지,A233740,153900000,1195803000000
한화시스템,A272210,110230389,1184976681750
KODEX 200TR,A278530,129450000,1182525750000
영진약품,A003520,182892731,1172342405710
롯데정밀화학,A004000,25800000,1171320000000
영풍,A000670,1842040,1158643160000
현대그린푸드,A005440,97704482,1152912887600
두산,A000150,16523835,1151711299500
두산인프라코어,A042670,208161279,1151131872870
한솔케미칼,A014680,11295195,1140814695000
HDC현대산업개발,A294870,43938220,1127015343000
롯데칠성,A005300,7993460,1123081130000
KODEX 삼성그룹,A102780,164100000,1119982500000
JB금융지주,A175330,196982894,1114923180040
이오테크닉스,A039030,12319550,1114919275000
태광산업,A003240,1113400,1106719600000
두산중공업,A034020,202146875,1105743406250
TIGER MSCI Korea TR,A310970,95700000,1093372500000
한국콜마,A161890,22881180,1085711991000
롯데리츠,A330590,171968884,1081684280360
현대상선,A011200,316552195,1066780897150
오리온홀딩스,A001800,62645422,1064972174000
현대오토에버,A307950,21000000,1047900000000
녹십자홀딩스,A005250,47028210,1036972030500
에코프로비엠,A247540,20555966,1026770501700
TRUE 코스피 양매도 5% OTM ETN,Q570019,98900000,1024604000000
코리안리,A003690,120369116,1015915339040
신라젠,A215600,71052125,1012492781250
